department_name,school,harvard_equivalent
BIOMEDICAL ENGINEERING,Wake Forest,
BIOSTATISTICAL SCIENCES,Wake Forest,SB;DBMI
CANCER BIOLOGY,Wake Forest,CB
COMPARATIVE MEDICINE,Wake Forest,
EPIDEMIOLOGY AND PREVENTION,Wake Forest,
IMPLEMENTATION SCIENCE,Wake Forest,
MICROBIOLOGY AND IMMUNOLOGY,Wake Forest,Mb;Imm
MOLECULAR MEDICINE,Wake Forest,BCMP
NEUROBIOLOGY AND ANATOMY,Wake Forest,Nb
PUBLIC HEALTH SCIENCES,Wake Forest,
SOCIAL SCIENCES AND HEALTH POLICY,Wake Forest,HCP;GHSM
OPHTHAMOLOGY VISUAL AND ANATOMICAL SCIENCES,Wayne State,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Wayne State,BCMP
IMMUNOLOGY AND MICROBIOLOGY,Wayne State,Mb;Imm
ONCOLOGY,Wayne State,CB
PHARMACOLOGY,Wayne State,BCMP
PHYSIOLOGY,Wayne State,BCMP
BIOCHEMISTRY,Cornell-Weill,BCMP
BRAIN AND MIND RESEARCH INSTITUTE,Cornell-Weill,Nb
CELL AND DEVELOPMENTAL BIOLOGY,Cornell-Weill,CB
GENETIC MEDICINE,Cornell-Weill,Gn
MICROBIOLOGY AND IMMUNOLOGY,Cornell-Weill,Mb;Imm
PHARMACOLOGY,Cornell-Weill,BCMP
PHYSIOLOGY AND BIOPHYSICS,Cornell-Weill,BCMP
ECOLOGY AND EVOLUTIONARY BIOLOGY,Brown-Alpert,
MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,Brown-Alpert,BCMP;CB
MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,Brown-Alpert,Mb;Imm
MOLECULAR PHARM PHYSIOLOGY AND BIOTECH,Brown-Alpert,BCMP
NEUROSCIENCE,Brown-Alpert,Nb
PATHOLOGY AND LAB MEDICINE,Brown-Alpert,
MEDICAL SCIENCE,Brown-Alpert,
ANATOMY AND STRUCTURAL BIOLOGY,Einstein,
BIOCEHMISTRY,Einstein,BCMP
CELL BIOLOGY,Einstein,CB
DEVELOPMENTAL AND MOLECULAR BIOLOGY,Einstein,BCMP
EPIDEMIOLOGY AND POPULATION HEALTH,Einstein,GBSM
GENETICS,Einstein,Gn
MICROBIOLOGY AND IMMUNOLOGY,Einstein,Mb;Imm
MOLECULAR PHARMACOLOGY,Einstein,BCMP
NEUROSCIENCE,Einstein,Nb
PATHOLOGY,Einstein,
PHYSIOLOGY AND BIOPHYSICS,Einstein,BCMP
CENTER FOR BIOSTATISTICS AND EPIDEMIOLOGY (BIOMEDICAL EDUCATION AND DATA SCIENCE),Temple-Katz,DBMI
FELS INST FOR CANCER RESEARCH AND MOLECULAR BIOLOGY (CANCER AND CELLULAR BIOLOGY),Temple-Katz,CB
CENTER FOR TRANSLATIONAL MEDICINE (CARDIOVASCULAR SCIENCES),Temple-Katz,BCMP
CARDIOVASCULAR RESEARCH CENTER (CARDIOVASCULAR SCIENCES),Temple-Katz,
LEMOLE CENTER FOR INTEGRATED LYMPHATICS RESEARCH (CARDIOVASCULAR SCIENCES),Temple-Katz,
CENTER FOR METABOLIC DISEASE RESEARCH (CARDIOVASCULAR SCIENCES),Temple-Katz,
THROMBOSIS RESEARCH CENTER (CARDIOVASCULAR SCIENCES),Temple-Katz,
MEDICAL GENETICS AND MOLEC BIOCHEMISTRY,Temple-Katz,Gn;BCMP
MICROBIOLOGY AND IMMUNOLOGY (MICROBIOLOGY IMMUNOLOGY AND INFLAMMATION),Temple-Katz,Mb;Imm
NEUROVIROLOGY AND GENE EDITING (MICROBIOLOGY IMMUNOLOGY AND INFLAMMATION),Temple-Katz,Gn;Nb
LUNG RESEARCH CENTER (MICROBIOLOGY IMMUNOLOGY AND INFLAMMATION),Temple-Katz,
CENTER FOR SUBSTANCE ABUSE RESEARCH (NEURAL SCIENCES),Temple-Katz,Nb
ALZHEIMER'S CENTER (NEURAL SCIENCES),Temple-Katz,Nb
SHRINERS HOSPITALS PEDIATRIC RESEARCH CENTER (NEURAL SCIENCES),Temple-Katz,Nb
PATHOLOGY AND LAB MEDICINE,Temple-Katz,
CENTER FOR URBAN BIOETHICS (URBAN HEALTH AND POPULATION SCIENCE),Temple-Katz,GHSM
CENTER FOR ASIAN HEALTH (URBAN HEALTH AND POPULATION SCIENCE),Temple-Katz,GHSM
HOPE CENTER FOR COLLEGE COMMUNITY AND JUSTICE (URBAN HEALTH AND POPULATION SCIENCE),Temple-Katz,GHSM
BIOCHEMISTRY AND CELL BIOLOGY,Dartmouth-Geisel,BCMP;CB
BIOMEDICAL DATA SCIENCE,Dartmouth-Geisel,DBMI
EPIDEMIOLOGY,Dartmouth-Geisel,
HEALTH POLICY AND CLINICAL PRACTICE,Dartmouth-Geisel,HCP
MICROBIOLOGY AND IMMUNOLOGY,Dartmouth-Geisel,Mb;Imm
MOLECULAR AND SYSTEMS BIOLOGY,Dartmouth-Geisel,SB
BEN MAY DEPARTMENT FOR CANCER RESEARCH,Chicago-Pritzker,CB
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Chicago-Pritzker,BCMP
ECOLOGY AND EVOLUTION,Chicago-Pritzker,
HUMAN GENETICS,Chicago-Pritzker,Gn
MICROBIOLOGY,Chicago-Pritzker,Mb
MOLECULAR GENETICS AND CELL BIOLOGY,Chicago-Pritzker,Gn;CB
NEUROBIOLOGY,Chicago-Pritzker,Nb
ORGANISMAL BIOLOGY AND ANATOMY,Chicago-Pritzker,
PHARMACOLOGICAL AND PHYSIOLOGICAL SCIS,Chicago-Pritzker,BCMP
PUBLIC HEALTH SCIENCES,Chicago-Pritzker,GHSM
BIOMEDICAL INFORMATICS,Pittsburgh,DBMI
CELL BIOLOGY,Pittsburgh,CB
COMPUTATIONAL AND SYSTEMS BIOLOGY,Pittsburgh,SB
DEVELOPMENTAL BIOLOGY,Pittsburgh,
IMMUNOLOGY,Pittsburgh,Imm
MICROBIOLOGY AND MOLECULAR GENETICS,Pittsburgh,Mb;Gn
NEUROBIOLOGY,Pittsburgh,Nb
PATHOLOGY,Pittsburgh,
PHARMACOLOGY AND CHEMICAL BIOLOGY,Pittsburgh,BCMP
STRUCTURAL BIOLOGY,Pittsburgh,
MICROBIOLOGY AND MOLECULAR CELL BIOLOGY,Eastern Virginia,BCMP;CB;Mb
PATHOLOGY AND ANATOMY,Eastern Virginia,
PHYSIOLOGICAL SCIENCES,Eastern Virginia,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,New York Medical,BCMP
CELL BIOLOGY AND ANATOMY,New York Medical,CB
PATHOLOGY,New York Medical,
MICROBIOLOGY AND IMMUNOLOGY,New York Medical,Mb;Imm
PHARMACOLOGY,New York Medical,BCMP
PHYSIOLOGY,New York Medical,
PUBLIC HEALTH,New York Medical,GHSM
MOLECULAR MEDICINE,USF-Morsani,BCMP
MOLECULAR PHARMACOLOGY AND PHYSIOLOGY,USF-Morsani,BCMP
PATHOLOGY AND CELL BIOLOGY,USF-Morsani,CB
BIOCHEMISTRY,Emory,BCMP
BIOMEDICAL ENGINEERING,Emory,
BIOMEDICAL INFORMATICS,Emory,DBMI
CELL BIOLOGY,Emory,CB
HUMAN GENETICS,Emory,Gn
MICROBIOLOGY AND IMMUNOLOGY,Emory,Mb;Imm
PATHOLOGY AND LAB MEDICINE,Emory,
PHARMACOLOGY AND CHEMICAL BIOLOGY,Emory,BCMP
BIOCHEMISTRY MOLECULAR BIOLOGY AND BIOPHYSICS,Minnesota,BCMP
GENETICS CELL BIOLOGY AND DEVELOPMENT,Minnesota,Gn;CB
INTEGRATIVE BIOLOGY AND PHYSIOLOGY,Minnesota,
MICROBIOLOGY AND IMMUNOLOGY,Minnesota,Mb;Imm
NEUROSCIENCE,Minnesota,Nb
PHARMACOLOGY,Minnesota,BCMP
BIOMEDICAL ENGINEERING,Michigan,
BIOLOGICAL CHEMISTRY,Michigan,BCMP
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,BCMP
COMPUTATIONAL MEDICINE AND BIOINFORMATICS,Michigan,SB;DBMI
HUMAN GENETICS,Michigan,Gn
LEARNING HEALTH SCIENCES,Michigan,
MICROBIOLOGY AND IMMUNOLOGY,Michigan,Mb;Imm
MOLECULAR AND INTEGRATIVE PHYSIOLOGY,Michigan,BCMP
PHARMACOLOGY,Michigan,BCMP
ANATOMY AND NEUROBIOLOGY,Virginia Commonwealth,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Virginia Commonwealth,BCMP
BIOSTATISTICS,Virginia Commonwealth,SB
HEALTH BEHAVIOR AND POLICY,Virginia Commonwealth,HCP
MICROBIOLOGY AND IMMUNOLOGY,Virginia Commonwealth,Mb;Imm
PHARMACOLOGY AND TOXICOLOGY,Virginia Commonwealth,BCMP
PHYSIOLOGY AND BIOPHYSICS,Virginia Commonwealth,BCMP
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Chicago Med Franklin,BCMP
CELL BIOLOGY AND ANATOMY,Chicago Med Franklin,CB
CELLULAR AND MOLECULAR PHARMACOLOGY,Chicago Med Franklin,BCMP
HUMANITIES AND HEALTH CARE,Chicago Med Franklin,GHSM
MICROBIOLOGY AND IMMUNOLOGY,Chicago Med Franklin,Mb;Imm
NEUROSCIENCE,Chicago Med Franklin,Nb
PHYSIOLOGY AND BIOPHYSICS,Chicago Med Franklin,BCMP
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Loyola Stritch,BCMP
CELL AND MOLECULAR PHYSIOLOGY,Loyola Stritch,
INTEGRATIVE CELL BIOLOGY,Loyola Stritch,CB
MICROBIOLOGY AND IMMUNOLOGY,Loyola Stritch,Mb;Imm
MOLECULAR PHARMACOLOGY AND THERAPEUTICS (AND NEUROSCIENCE),Loyola Stritch,BCMP;Nb
PUBLIC HEALTH SCIENCES,Loyola Stritch,GHSM
CANCER BIOLOGY,Loyola Stritch,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Penn State,BCMP
CELLULAR AND MOLECULAR PHYSIOLOGY,Penn State,BCMP
COMPARATIVE MEDICINE,Penn State,
HUMANITIES,Penn State,GHSM
MICROBIOLOGY AND IMMUNOLOGY,Penn State,Mb;Imm
NEURAL AND BEHAVIORAL SCIENCES,Penn State,Nb
PHARMACOLOGY,Penn State,BCMP
PUBLIC HEALTH SCIENCES,Penn State,
BIOCHEMISTRY AND BIOPHYSICS,Rochester,BCMP
BIOMEDICAL ENGINEERING,Rochester,
BIOMEDICAL GENETICS,Rochester,Gn
BIOSTATISTICS AND COMPUTATIONAL BIOLOGY,Rochester,DBMI
CANCER CENTER,Rochester,
CARDIOVASCULAR RESEARCH INSTITUTE,Rochester,BCMP
CENTER FOR COMMUNITY HEALTH AND PREVENTION,Rochester,
CENTER FOR HEALTH AND TECHNOLOGY,Rochester,
CENTER FOR NEUROTHERAPEUTICS DISCOVERY,Rochester,Nb
CENTER FOR TRANSLATIONAL NEUROMED,Rochester,Nb
CENTER FOR VACCINE BIOLOGY AND IMMUNOLOGY,Rochester,Imm
COMPARATIVE MEDICINE,Rochester,
ENVIRONMENTAL MEDICINE,Rochester,
MEDICAL HUMANITIES AND BIOETHICS,Rochester,GHSM
MICROBIOLOGY AND IMMUNOLOGY,Rochester,Mb;Imm
NEUROSCIENCE,Rochester,Nb
PATHOLOGY AND LAB MEDICINE,Rochester,
PHARMACOLOGY AND PHYSIOLOGY,Rochester,BCMP
PUBLIC HEALTH SCIENCES,Rochester,
BIOCHEMISTRY AND MOLEC BIOLOGY,Nebraska,BCMP
BIOSTATISTICS,Nebraska,DBMI;SB
CELLULAR AND INTEGRATIVE PHYSIOLOGY,Nebraska,
ENVIRONMENTAL AGRICULTURAL AND OCCUPATIONAL HEALTH,Nebraska,
EPIDEMIOLOGY,Nebraska,
GENETICS CELL BIOLOGY AND ANATOMY,Nebraska,
PATHOLOGY AND MICROBIOLOGY,Nebraska,Mb
PHARMACOLOGY AND EXPERIMENTAL NEUROSCIENCE,Nebraska,BCMP
BIOCHEMISTRY (BASIC SCIENCES),Ponce,BCMP
MICROBIOLOGY (BASIC SCIENCES),Ponce,Mb
PHARMACOLOGY (BASIC SCIENCES),Ponce,BCMP
PHYSIOLOGY (BASIC SCIENCES),Ponce,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Saint Louis,BCMP
COMPARATIVE MEDICINE,Saint Louis,
CLINICAL TRIALS OFFICE,Saint Louis,
MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,Saint Louis,Mb;Imm
PATHOLOGY,Saint Louis,
PHARMACOLOGICAL AND PHYSIOLOGICAL SCIENCE,Saint Louis,
CELL DEVELOPMENTAL AND REGENERATIVE BIOLOGY,Mount Sinai-Icahn,CB;SCRB
GENETICS AND GENOMIC SCIENCES,Mount Sinai-Icahn,Gn
MICROBIOLOGY,Mount Sinai-Icahn,Mb
NEUROSCIENCE,Mount Sinai-Icahn,Nb
PATHOLOGY (MOLECULAR AND CELL-BASED MEDICINE),Mount Sinai-Icahn,BCMP
PHARMACOLOGICAL SCIENCES,Mount Sinai-Icahn,BCMP
POPULATION HEALTH SCIENCE AND POLICY,Mount Sinai-Icahn,GHSM
BIOCHEMISTRY AND MOLEC GENETICS,Colorado,BCMP;Gn
CELL AND DEVELOPMENTAL BIOLOGY,Colorado,CB
IMMUNOLOGY AND MICROBIOLOGY,Colorado,Imm;Mb
PATHOLOGY,Colorado,
PHARMACOLOGY,Colorado,BCMP
PHYSIOLOGY AND BIOPHYSICS,Colorado,BCMP
BIOCHEMISTRY,Vanderbilt,BCMP
BIOMEDICAL INFORMATICS,Vanderbilt,DBMI
CELL AND DEVELOPMENTAL BIOLOGY,Vanderbilt,CB
MOLECULAR PHYSIOLOGY AND BIOPHYSICS,Vanderbilt,BCMP
PHARMACOLOGY,Vanderbilt,BCMP
PHARMACOLOGY AND SYSTEMS PHYSIOLOGY,Cincinnati,BCMP
MOLECULAR GENETICS BIOCHEMISTRY AND MICROBIOLOGY,Cincinnati,Gn;BCMP;Mb
ENVIRONMENTAL AND PUBLIC HEALTH SCIENCES,Cincinnati,GHSM
PATHOLOGY AND LAB MEDICINE,Cincinnati,
MOLECULAR AND CELLULAR PHYSIOLOGY,Albany,
REGENERATIVE AND CANCER CELL BIOLOGY,Albany,CB
IMMUNOLOGY AND MICROBIAL DISEASE,Albany,Imm;Mb
NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,Albany,Nb
EPIDEMIOLOGY AND BIOSTATISTICS,Michigan State,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Michigan State,BCMP
MICROBIOLOGY AND MOLECULAR GENETICS,Michigan State,Mb
