school,department_name,harvard_equivalent,nih_2019
Boston,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,16013552
Harvard,BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,BCMP,13596219
Southern Cal-Keck,BIOCHEMISTRY AND MOLECULAR MEDICINE,BCMP,3856373
Case Western Reserve,MOLECULAR MEDICINE,BCMP,78775393
Case Western Reserve,PHARMACOLOGY,BCMP,6448231
Case Western Reserve,PHYSIOLOGY AND BIOPHYSICS,BCMP,5233560
Johns Hopkins,BIOLOGICAL CHEMISTRY,BCMP,3967353
Johns Hopkins,BIOPHYSICS AND BIOPHYSICAL CHEMISTRY,BCMP,3407141
Johns Hopkins,PHARMACOLOGY AND MOLECULAR SCIENCES,BCMP,5330803
Northwestern-Feinberg,PHARMACOLOGY,BCMP,8587027
Drexel,PHARMACOLOGY AND PHYSIOLOGY,BCMP,3532974
George Washington,BIOCHEMISTRY AND MOLECULAR MEDICINE,BCMP,2030737
George Washington,PHARMACOLOGY AND PHYSIOLOGY,BCMP,5608193
Georgetown,PHARMACOLOGY AND PHYSIOLOGY,BCMP,1952955
Tufts,DEVELOPMENTAL MOLEC AND CHEMICAL BIOL,BCMP,5421240
Columbia-Vagelos,BIOCHEMISTRY AND MOLECULAR BIOPHYSICS,BCMP,19973635
Columbia-Vagelos,MOLECULAR PHARMACOLOGY AND THERAPEUTICS,BCMP,NA
Ohio State,BIOLOGICAL CHEMISTRY AND PHARMACOLOGY,BCMP,4158189
Pennsylvania-Perelman,BIOCHEMISTRY AND BIOPHYSICS,BCMP,7053415
Pennsylvania-Perelman,SYSTEMS PHARMACOLOGY AND TRANSLATIONAL THERAPEUTICS,BCMP,27348038
Yale,MOLECULAR BIOPHYSICS AND BIOCHEMISTRY,BCMP,13788191
Stanford,BIOCHEMISTRY,BCMP,12077435
Indiana,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,6583120
Indiana,PHARMACOLOGY AND TOXICOLOGY,BCMP,6386793
U Washington,BIOCHEMISTRY,BCMP,13657599
U Washington,PHARMACOLOGY,BCMP,8032888
U Washington,PHYSIOLOGY AND BIOPHYSICS,BCMP,11201869
Jefferson-Kimmel,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,8583040
Jefferson-Kimmel,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,NA
Jefferson-Kimmel,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,1106585
MC Wisconsin,BIOCHEMISTRY,BCMP,7704161
MC Wisconsin,BIOPHYSICS,BCMP,2812378
MC Wisconsin,PHARMACOLOGY AND TOXICOLOGY,BCMP,6540115
NYU-Grossman,BIOCHEMISTRY AND MOLEC PHARMACOLOGY,BCMP,9055710
UC San Fransisco,BIOCHEMISTRY AND BIOPHYSICS,BCMP,26504070
Miami-Miller,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,6924686
Miami-Miller,PHYSIOLOGY AND BIOPHYSICS,BCMP,2323712
Illinois,BIOCHEMISTRY,BCMP,377748
Illinois,PHARMACOLOGY,BCMP,13157273
Washington U St Louis,BIOCHEMISTRY AND MOLECULAR BIOPHYSICS,BCMP,6575251
Tulane,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,3944116
Tulane,PHARMACOLOGY,BCMP,2523418
Duke,BIOCHEMISTRY,BCMP,4457656
Wake Forest,BIOCHEMISTRY,BCMP,2535334
Wake Forest,MOLECULAR MEDICINE,BCMP,NA
Wayne State,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,NA
Wayne State,PHARMACOLOGY,BCMP,1837720
Wayne State,PHYSIOLOGY,NA,4416671
Cornell-Weill,BIOCHEMISTRY,BCMP,4758246
Cornell-Weill,PHARMACOLOGY,BCMP,11998827
Cornell-Weill,PHYSIOLOGY AND BIOPHYSICS,BCMP,8761041
Brown-Alpert,MOLECULAR PHARM PHYSIOLOGY AND BIOTECH,BCMP,2165005
Einstein,BIOCEHMISTRY,BCMP,NA
Einstein,DEVELOPMENTAL AND MOLECULAR BIOLOGY,BCMP,NA
Einstein,MOLECULAR PHARMACOLOGY,BCMP,NA
Einstein,PHYSIOLOGY AND BIOPHYSICS,BCMP,NA
Temple-Katz,CENTER FOR TRANSLATIONAL MEDICINE,BCMP,2722122
Chicago-Pritzker,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,13327261
Chicago-Pritzker,PHARMACOLOGICAL AND PHYSIOLOGICAL SCIS,BCMP,703958
Pittsburgh,PHARMACOLOGY AND CHEMICAL BIOLOGY,BCMP,18532083
New York Medical,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,NA
New York Medical,PHARMACOLOGY,BCMP,2710231
USF-Morsani,MOLECULAR MEDICINE,BCMP,5982814
USF-Morsani,MOLECULAR PHARMACOLOGY AND PHYSIOLOGY,BCMP,7504116
Emory,BIOCHEMISTRY,BCMP,4632986
Emory,PHARMACOLOGY AND CHEMICAL BIOLOGY,BCMP,9156391
Minnesota,BIOCHEMISTRY MOLECULAR BIOLOGY AND BIOPHYSICS,BCMP,18179849
Minnesota,PHARMACOLOGY,BCMP,6548449
Michigan,BIOLOGICAL CHEMISTRY,BCMP,9903693
Michigan,CELL AND DEVELOPMENTAL BIOLOGY,CB,16480622
Michigan,MOLECULAR AND INTEGRATIVE PHYSIOLOGY,BCMP,22293124
Michigan,PHARMACOLOGY,BCMP,10002483
Virginia Commonwealth,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,1694387
Virginia Commonwealth,PHARMACOLOGY AND TOXICOLOGY,BCMP,12286607
Virginia Commonwealth,PHYSIOLOGY AND BIOPHYSICS,BCMP,3564390
Chicago Med Franklin,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,439294
Chicago Med Franklin,CELLULAR AND MOLECULAR PHARMACOLOGY,BCMP,1777334
Chicago Med Franklin,PHYSIOLOGY AND BIOPHYSICS,BCMP,1170000
Loyola Stritch,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,NA
Penn State,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,2970999
Penn State,CELLULAR AND MOLECULAR PHYSIOLOGY,BCMP;CB,5036937
Penn State,PHARMACOLOGY,BCMP,2878796
Rochester,BIOCHEMISTRY AND BIOPHYSICS,BCMP,6889361
Rochester,CARDIOVASCULAR RESEARCH INSTITUTE,NA,2193511
Rochester,PHARMACOLOGY AND PHYSIOLOGY,BCMP,7379106
