school,department_name,harvard_equivalent,nih_2016
Boston,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,9515755
Harvard,BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,BCMP,16577934
Southern Cal-Keck,BIOCHEMISTRY AND MOLECULAR MEDICINE,BCMP,NA
Case Western Reserve,MOLECULAR MEDICINE,BCMP,80273699
Case Western Reserve,PHARMACOLOGY,BCMP,NA
Case Western Reserve,PHYSIOLOGY AND BIOPHYSICS,BCMP,NA
Johns Hopkins,BIOLOGICAL CHEMISTRY,BCMP,6406475
Johns Hopkins,BIOPHYSICS AND BIOPHYSICAL CHEMISTRY,BCMP,2843292
Johns Hopkins,PHARMACOLOGY AND MOLECULAR SCIENCES,BCMP,6965052
Northwestern-Feinberg,PHARMACOLOGY,BCMP,5709013
Drexel,PHARMACOLOGY AND PHYSIOLOGY,BCMP,3643110
George Washington,BIOCHEMISTRY AND MOLECULAR MEDICINE,BCMP,1099595
George Washington,PHARMACOLOGY AND PHYSIOLOGY,BCMP,6172867
Georgetown,PHARMACOLOGY AND PHYSIOLOGY,BCMP,NA
Tufts,DEVELOPMENTAL MOLEC AND CHEMICAL BIOL,BCMP,3526554
Columbia-Vagelos,BIOCHEMISTRY AND MOLECULAR BIOPHYSICS,BCMP,NA
Columbia-Vagelos,MOLECULAR PHARMACOLOGY AND THERAPEUTICS,BCMP,NA
Ohio State,BIOLOGICAL CHEMISTRY AND PHARMACOLOGY,BCMP,1567522
Pennsylvania-Perelman,BIOCHEMISTRY AND BIOPHYSICS,BCMP,9047457
Pennsylvania-Perelman,SYSTEMS PHARMACOLOGY AND TRANSLATIONAL THERAPEUTICS,BCMP,NA
Yale,MOLECULAR BIOPHYSICS AND BIOCHEMISTRY,BCMP,15825852
Stanford,BIOCHEMISTRY,BCMP,13855576
Indiana,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,3777873
Indiana,PHARMACOLOGY AND TOXICOLOGY,BCMP,3865010
U Washington,BIOCHEMISTRY,BCMP,9906305
U Washington,PHARMACOLOGY,BCMP,7409484
U Washington,PHYSIOLOGY AND BIOPHYSICS,BCMP,7058844
Jefferson-Kimmel,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,3962643
Jefferson-Kimmel,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,620100
Jefferson-Kimmel,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,880712
MC Wisconsin,BIOCHEMISTRY,BCMP,5070132
MC Wisconsin,BIOPHYSICS,BCMP,7542882
MC Wisconsin,PHARMACOLOGY AND TOXICOLOGY,BCMP,2485507
NYU-Grossman,BIOCHEMISTRY AND MOLEC PHARMACOLOGY,BCMP,10777176
UC San Fransisco,BIOCHEMISTRY AND BIOPHYSICS,BCMP,23594567
Miami-Miller,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,4740762
Miami-Miller,PHYSIOLOGY AND BIOPHYSICS,BCMP,1878338
Illinois,BIOCHEMISTRY,BCMP,NA
Illinois,PHARMACOLOGY,BCMP,13655621
Washington U St Louis,BIOCHEMISTRY AND MOLECULAR BIOPHYSICS,BCMP,2902396
