school,department_name,harvard_equivalent,nih_2020
Rochester,BIOCHEMISTRY AND BIOPHYSICS,BCMP,7676106
Rochester,CARDIOVASCULAR RESEARCH INSTITUTE,NA,1659610
Rochester,PHARMACOLOGY AND PHYSIOLOGY,BCMP,4493839
Nebraska,BIOCHEMISTRY AND MOLEC BIOLOGY,BCMP,10669646
Nebraska,PHARMACOLOGY AND EXPERIMENTAL NEUROSCIENCE,BCMP,14634610
Ponce,BIOCHEMISTRY,BCMP,4576642
Ponce,PHARMACOLOGY,BCMP,2165448
Saint Louis,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,3542333
Mount Sinai-Icahn,PATHOLOGY,BCMP;CB,2017883
Mount Sinai-Icahn,PHARMACOLOGICAL SCIENCES,BCMP,12400662
Colorado,PHARMACOLOGY,BCMP,17989643
Colorado,PHYSIOLOGY AND BIOPHYSICS,BCMP,5059420
Vanderbilt,BIOCHEMISTRY,BCMP,32203962
Vanderbilt,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,19993950
Vanderbilt,PHARMACOLOGY,BCMP,15750645
Cincinnati,PHARMACOLOGY AND SYSTEMS PHYSIOLOGY,BCMP,8216611
Michigan State,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,499670
Michigan State,PHARMACOLOGY AND TOXICOLOGY,BCMP,1767231
UCLA-Geffen,BIOLOGICAL CHEMISTRY,BCMP,8394120
UCLA-Geffen,MOLECULAR AND MED PHARMACOLOGY,BCMP,4093029
Wisconsin,BIOMOLECULAR CHEMISTRY,BCMP,6625540
Wisconsin,MEDICAL PHYSICS,BCMP,4266543
Iowa-Carver,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,4969193
Iowa-Carver,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,9436442
Vermont-Larner,BIOCHEMISTRY,BCMP,1992636
Vermont-Larner,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,3077428
West Virginia,BIOCHEMISTRY,BCMP,2882879
West Virginia,PHYSIOLOGY PHARMACOLOGY AND NEUROSCIENCE,BCMP,5105273
SUNY Downstate,PHYSIOLOGY AND PHARMACOLOGY,BCMP,2570971
Baylor,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,4624247
Baylor,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,9442481
Baylor,PHARMACOLOGY AND CHEMICAL BIOLOGY,BCMP,5133848
Massachusetts,BIOCHEMISTRY AND MOLECULAR PHARMACOLOGY,BCMP,10699194
Virginia,MOLECULAR PHYSIOLOGY AND BIOLOGICAL PHYSICS,BCMP,11790581
North Carolina,BIOCHEMISTRY AND BIOPHYSICS,BCMP,20607724
North Carolina,PHARMACOLOGY,BCMP,20829653
Kentucky,MOLECULAR AND CELLULAR BIOCHEMISTRY,BCMP,12361912
Kentucky,PHARMACOLOGY AND NUTRITIONAL SCIENCES,BCMP,36613844
Toledo,PHYSIOLOGY AND PHARMACOLOGY,BCMP,1458159
UC San Diego,PHARMACOLOGY,BCMP,30033678
Maryland,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,6486126
Maryland,PHARMACOLOGY,BCMP,4252812
Buffalo-Jacobs,BIOCHEMISTRY,BCMP,4802984
Buffalo-Jacobs,PHARMACOLOGY AND TOXICOLOGY,BCMP,4349046
Buffalo-Jacobs,PHYSIOLOGY AND BIOPHYSICS,BCMP,4534901
Oregon,CHEMICAL PHYSIOLOGY AND BIOCHEMISTRY,BCMP,NA
Oregon,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,384997
Oregon,PHYSIOLOGY AND PHARMACOLOGY,BCMP,2074804
Rush,PHYSIOLOGY AND BIOPHYSICS,BCMP,2957134
Louisville,PHARMACOLOGY AND TOXICOLOGY,BCMP,4796323
Loma Linda,BASIC SCIENCES,BCMP;Mb;Gn,3848262
SUNY Upstate,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,3159454
SUNY Upstate,PHARMACOLOGY,BCMP,1862346
Utah,BIOCHEMISTRY,BCMP,13661436
Tennessee,PHARMACOLOGY,BCMP,3731634
UT San Antonio-Long,BIOCHEMISTRY AND STRUCTURAL BIOLOGY,BCMP,3505881
MU South Carolina,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,6757115
