school,department_name,harvard_equivalent,nih_2017
Wayne State,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,389460
Wayne State,PHARMACOLOGY,BCMP,1776836
Wayne State,PHYSIOLOGY,NA,4348844
Cornell-Weill,BIOCHEMISTRY,BCMP,4149423
Cornell-Weill,PHARMACOLOGY,BCMP,9765473
Cornell-Weill,PHYSIOLOGY AND BIOPHYSICS,BCMP,7351505
Brown-Alpert,MOLECULAR PHARM PHYSIOLOGY AND BIOTECH,BCMP,1879572
Einstein,BIOCEHMISTRY,BCMP,NA
Einstein,DEVELOPMENTAL AND MOLECULAR BIOLOGY,BCMP,NA
Einstein,MOLECULAR PHARMACOLOGY,BCMP,NA
Einstein,PHYSIOLOGY AND BIOPHYSICS,BCMP,NA
Temple-Katz,CENTER FOR TRANSLATIONAL MEDICINE,BCMP,2363250
Chicago-Pritzker,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,13739695
Chicago-Pritzker,PHARMACOLOGICAL AND PHYSIOLOGICAL SCIS,BCMP,1166477
Pittsburgh,PHARMACOLOGY AND CHEMICAL BIOLOGY,BCMP,12338894
New York Medical,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,362250
New York Medical,PHARMACOLOGY,BCMP,2511263
USF-Morsani,MOLECULAR MEDICINE,BCMP,5844108
USF-Morsani,MOLECULAR PHARMACOLOGY AND PHYSIOLOGY,BCMP,4963137
Emory,BIOCHEMISTRY,BCMP,4716958
Emory,PHARMACOLOGY AND CHEMICAL BIOLOGY,BCMP,6927398
Minnesota,BIOCHEMISTRY MOLECULAR BIOLOGY AND BIOPHYSICS,BCMP,16032469
Minnesota,PHARMACOLOGY,BCMP,5485853
Michigan,BIOLOGICAL CHEMISTRY,BCMP,6788265
Michigan,CELL AND DEVELOPMENTAL BIOLOGY,CB,11174008
Michigan,MOLECULAR AND INTEGRATIVE PHYSIOLOGY,BCMP,22492282
Michigan,PHARMACOLOGY,BCMP,9401085
Virginia Commonwealth,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,2499148
Virginia Commonwealth,PHARMACOLOGY AND TOXICOLOGY,BCMP,8967464
Virginia Commonwealth,PHYSIOLOGY AND BIOPHYSICS,BCMP,3727081
Chicago Med Franklin,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,1118025
Chicago Med Franklin,CELLULAR AND MOLECULAR PHARMACOLOGY,BCMP,2481293
Chicago Med Franklin,PHYSIOLOGY AND BIOPHYSICS,BCMP,1347889
Loyola Stritch,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,NA
Penn State,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,2990048
Penn State,CELLULAR AND MOLECULAR PHYSIOLOGY,BCMP;CB,4940622
Penn State,PHARMACOLOGY,BCMP,634290
Rochester,BIOCHEMISTRY AND BIOPHYSICS,BCMP,4676556
Rochester,CARDIOVASCULAR RESEARCH INSTITUTE,NA,NA
Rochester,PHARMACOLOGY AND PHYSIOLOGY,BCMP,5969193
Nebraska,BIOCHEMISTRY AND MOLEC BIOLOGY,BCMP,NA
Nebraska,PHARMACOLOGY AND EXPERIMENTAL NEUROSCIENCE,BCMP,16323197
Ponce,BIOCHEMISTRY,BCMP,33070
Ponce,PHARMACOLOGY,BCMP,1563193
Saint Louis,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,2874770
Mount Sinai-Icahn,PATHOLOGY,BCMP;CB,2619755
Mount Sinai-Icahn,PHARMACOLOGICAL SCIENCES,BCMP,20815011
Colorado,PHARMACOLOGY,BCMP,11731029
Colorado,PHYSIOLOGY AND BIOPHYSICS,BCMP,4369843
Vanderbilt,BIOCHEMISTRY,BCMP,25082264
Vanderbilt,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,14142777
Vanderbilt,PHARMACOLOGY,BCMP,16907691
Cincinnati,PHARMACOLOGY AND SYSTEMS PHYSIOLOGY,BCMP,NA
Michigan State,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,346368
Michigan State,PHARMACOLOGY AND TOXICOLOGY,BCMP,1605641
UCLA-Geffen,BIOLOGICAL CHEMISTRY,BCMP,6700860
UCLA-Geffen,MOLECULAR AND MED PHARMACOLOGY,BCMP,5683460
Wisconsin,BIOMOLECULAR CHEMISTRY,BCMP,7117043
Wisconsin,MEDICAL PHYSICS,BCMP,4482761
Iowa-Carver,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,4099845
Iowa-Carver,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,6230212
Vermont-Larner,BIOCHEMISTRY,BCMP,2380250
Vermont-Larner,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,2511871
West Virginia,BIOCHEMISTRY,BCMP,2559052
West Virginia,PHYSIOLOGY PHARMACOLOGY AND NEUROSCIENCE,BCMP,4027954
SUNY Downstate,PHYSIOLOGY AND PHARMACOLOGY,BCMP,3285808
Baylor,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,7225603
Baylor,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,8012159
Baylor,PHARMACOLOGY AND CHEMICAL BIOLOGY,BCMP,2309642
Massachusetts,BIOCHEMISTRY AND MOLECULAR PHARMACOLOGY,BCMP,12435629
Virginia,MOLECULAR PHYSIOLOGY AND BIOLOGICAL PHYSICS,BCMP,10838511
North Carolina,BIOCHEMISTRY AND BIOPHYSICS,BCMP,18815523
North Carolina,PHARMACOLOGY,BCMP,21252020
Kentucky,MOLECULAR AND CELLULAR BIOCHEMISTRY,BCMP,10907029
Kentucky,PHARMACOLOGY AND NUTRITIONAL SCIENCES,BCMP,6275506
Toledo,PHYSIOLOGY AND PHARMACOLOGY,BCMP,NA
UC San Diego,PHARMACOLOGY,BCMP,22697727
Maryland,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,6169271
Maryland,PHARMACOLOGY,BCMP,3150896
Buffalo-Jacobs,BIOCHEMISTRY,BCMP,3187035
Buffalo-Jacobs,PHARMACOLOGY AND TOXICOLOGY,BCMP,2313546
Buffalo-Jacobs,PHYSIOLOGY AND BIOPHYSICS,BCMP,2640725
Oregon,CHEMICAL PHYSIOLOGY AND BIOCHEMISTRY,BCMP,NA
Oregon,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,2605411
Oregon,PHYSIOLOGY AND PHARMACOLOGY,BCMP,8491337
Rush,PHYSIOLOGY AND BIOPHYSICS,BCMP,4029801
Louisville,PHARMACOLOGY AND TOXICOLOGY,BCMP,4979833
Loma Linda,BASIC SCIENCES,BCMP;Mb;Gn,5660765
SUNY Upstate,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,1398710
SUNY Upstate,PHARMACOLOGY,BCMP,1117800
Utah,BIOCHEMISTRY,BCMP,11298755
Tennessee,PHARMACOLOGY,BCMP,1819516
UT San Antonio-Long,BIOCHEMISTRY AND STRUCTURAL BIOLOGY,BCMP,2522698
MU South Carolina,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,6981691
Rutgers New Jersey,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,NA
MC Georgia Augusta,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,3475816
UT Medical Branch,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,3820006
Renaissance Stony Brook,PHYSIOLOGY AND BIOPHYSICS,BCMP,NA
Florida,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,5712411
Florida,PHARMACOLOGY AND THERAPEUTICS,BCMP,4228926
Oklahoma,BIOCHEMISTRY AND MOLECULAR BIOL,BCMP,1357184
FIU-Wertheim,CELLULAR BIOLOGY AND PHARMACOLOGY,BCMP,803808
Arkansas,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,2161782
Arkansas,PHARMACOLOGY AND TOXICOLOGY,BCMP,1971216
UC Davis,BIOCHEMISTRY AND MOLECULAR MEDICINE,BCMP,8493343
UC Davis,PHARMACOLOGY,BCMP,10356422
LSU New Orleans,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,365000
LSU New Orleans,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,2934722
Missouri Columbia,BIOCHEMISTRY,BCMP,3154108
Missouri Columbia,MEDICAL PHARMACOLOGY AND PHYSIOLOGY,BCMP,3857334
Mayo-Alix,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,NA
Mayo-Alix,MOLECULAR PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,NA
Florida State,MOLECULAR BIOPHYSICS,BCMP,NA
Howard,BIOCHEM AND MOLECULAR BIOLOGY,BCMP,2281846
Howard,PHARMACOLOGY,BCMP,NA
Howard,PHYSIOLOGY AND BIOPHYSICS,BCMP,111344
LSU Shreveport,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,72500
UC Irvine,BIOLOGICAL CHEMISTRY,BCMP,3468244
UC Irvine,PHARMACOLOGY,BCMP,1754229
UC Irvine,PHYSIOLOGY AND BIOPHYSICS,BCMP,4470389
Zucker Hofstra Northwell,MOLECULAR MEDICINE,BCMP,NA
Wright State-Boonshoft,BIOCHEMISTRY AND MOLEC BIOLOGY,BCMP,1146550
Arizona,CHEMISTRY AND BIOCHEMISTRY,BCMP,3712613
Arizona,PHARMACOLOGY,BCMP,3984286
UT Houston-McGovern,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,7798455
UT Houston-McGovern,INTEGRATIVE BIOLOGY AND PHARMACOLOGY,BCMP,7192485
Mississippi,PHYSIOLOGY AND BIOPHYSICS,BCMP,14662081
Connecticut,MOLECULAR BIOLOGY AND BIOPHYSICS,BCMP,2519039
UT Southwestern,BIOCHEMISTRY,BCMP,8819952
UT Southwestern,BIOPHYSICS,BCMP,3917643
UT Southwestern,MOLECULAR BIOLOGY,BCMP,8794859
UT Southwestern,PHARMACOLOGY,BCMP,5807899
New Mexico,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,340875
Hawaii-Burns,ANATOMY BIOCHEM AND PHYSIOLOGY,BCMP,2262070
Texas Tech,CELLULAR PHYSIOLOGY AND MOLEC BIOPHYSICS,BCMP,NA
Southern Illinois,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,481800
Southern Illinois,PHARMACOLOGY,BCMP,1137305
Caribe,BIOCHEMISTRY,BCMP,330781
Caribe,PHARMACOLOGY,BCMP,NA
South Alabama,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,606000
South Alabama,PHARMACOLOGY,BCMP,757500
Nevada Reno,PHARMACOLOGY,BCMP,5965257
Puerto Rico,BIOCHEMISTRY,BCMP,1347739
Puerto Rico,PHARMACOLOGY AND TOXICOLOGY,BCMP,NA
Texas Tech-Foster,MOLECULAR AND TRANSITIONAL MEDICINE,BCMP,NA
East Carolina-Brody,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,384878
East Carolina-Brody,PHARMACOLOGY AND TOXICOLOGY,BCMP,NA
UT Rio Grande Valley,MOLECULAR SCIENCE,BCMP,NA
UT Rio Grande Valley,PHARMACOLOGY,BCMP,NA
Uniformed Services-Hebert,BIOCHEMISTRY,BCMP,NA
Uniformed Services-Hebert,PHARMACOLOGY AND MOLECULAR THERAPEUTICS,BCMP,NA
Kansas,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,2232773
North Dakota,PHARMACOLOGY PHYSIOLOGY AND THERAPEUTICS,BCMP,2655788
Georgetown,BIOCHEMISTRY MOLEC BIOLOGY AND CELL BIOLOGY,BCMP;CB,2073400
Case Western Reserve,BIOCHEMISTRY,BCMP,NA
Drexel,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,1603845
Yale,CELLULAR AND MOLECULAR PHYSIOLOGY,BCMP;CB,10772756
Stanford,MOLECULAR AND CELLULAR PHYSIOLOGY,BCMP;CB,10423860
UC San Fransisco,CELLULAR AND MOLECULAR PHARMACOLOGY,BCMP;CB,9323830
Miami-Miller,MOLECULAR AND CELLULAR PHARMACOLOGY,BCMP;CB,3158011
Duke,PHARMACOLOGY AND CANCER BIOLOGY,BCMP,14063510
Brown-Alpert,MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,BCMP;CB,10232868
Dartmouth-Geisel,BIOCHEMISTRY AND CELL BIOLOGY,BCMP;CB,11811079
Renaissance Stony Brook,BIOCHEMISTRY AND CELL BIOLOGY,BCMP;CB,NA
Texas A & M,MOLECULAR AND CELLULAR MEDICINE,BCMP;CB,2651744
Eastern Virginia,MICROBIOLOGY AND MOLECULAR CELL BIOLOGY,BCMP;CB;Mb,1438183
Northwestern-Feinberg,BIOCHEMISTRY AND MOLECULAR GENETICS,BCMP;Gn,3342136
Colorado,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,7245349
Virginia,BIOCHEMISTRY AND MOLECULAR GENETICS,BCMP;Gn,6232851
Louisville,BIOCHEMISTRY AND MOLECULAR GENETICS,BCMP;Gn,104478
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,3484163
Loyola Stritch,MOLECULAR PHARMACOLOGY AND THERAPEUTICS,BCMP;Nb,339750
Creighton,PHARMACOLOGY,BCMP;Nb,479231
Meharry,BIOCHEMISTRY AND CANCER BIOLOGY,BCMP;Nb,5456984
Harvard,CELL BIOLOGY,CB,17683595
Boston,PHYSIOLOGY AND BIOPHYSICS,BCMP,3642381
Johns Hopkins,CELL BIOLOGY,CB,7729150
Northwestern-Feinberg,CELL AND DEVELOPMENTAL BIOLOGY,CB,NA
George Washington,ANATOMY AND CELL BIOLOGY,CB,NA
Georgetown,ONCOLOGY,NA,17063290
Columbia-Vagelos,PHYSIOLOGY AND CELLULAR BIOPHYSICS,CB,7375705
Ohio State,PHYSIOLOGY AND CELL BIOLOGY,CB,7795021
Pennsylvania-Perelman,CANCER BIOLOGY,NA,6906703
Pennsylvania-Perelman,CELL AND DEVELOPMENTAL BIOLOGY,CB,13905988
Yale,CELL BIOLOGY,CB,8189017
Indiana,ANATOMY CELL BIOLOGY AND PHYSIOLOGY,CB,3982726
U Washington,MOLECULAR AND CELLULAR BIOLOGY,CB,NA
Jefferson-Kimmel,PATHOLOGY ANATOMY AND CELL BIOLOGY,CB,8930197
NYU-Grossman,CELL BIOLOGY,CB,9042080
Miami-Miller,CELL BIOLOGY,CB,1808839
Illinois,CELL AND DEVELOPMENTAL BIOLOGY,CB,NA
Illinois,ANATOMY AND CELL BIOLOGY,CB,2676546
Washington U St Louis,CELL BIOLOGY AND PHYSIOLOGY,CB,5751837
Tulane,STRUCTURAL AND CELLULAR BIOLOGY,CB,812701
Duke,CELL BIOLOGY,CB,13408501
Wake Forest,CANCER BIOLOGY,NA,5636286
Wayne State,ONCOLOGY,NA,7506326
Cornell-Weill,CELL AND DEVELOPMENTAL BIOLOGY,CB,982415
Einstein,CELL BIOLOGY,CB,NA
Temple-Katz,FELS INST FOR CANCER RESEARCH AND MOLECULAR BIOLOGY,CB,NA
Chicago-Pritzker,BEN MAY DEPARTMENT FOR CANCER RESEARCH,NA,NA
Pittsburgh,CELL BIOLOGY,CB,4699201
New York Medical,CELL BIOLOGY AND ANATOMY,CB,NA
USF-Morsani,PATHOLOGY AND CELL BIOLOGY,CB,277792
Emory,CELL BIOLOGY,CB,5696547
Chicago Med Franklin,CELL BIOLOGY AND ANATOMY,CB,526500
Loyola Stritch,INTEGRATIVE CELL BIOLOGY,CB,421293
Colorado,CELL AND DEVELOPMENTAL BIOLOGY,CB,5244950
Vanderbilt,CELL AND DEVELOPMENTAL BIOLOGY,CB,12337228
Albany,REGENERATIVE AND CANCER CELL BIOLOGY,SCRB,1863662
Iowa-Carver,ANATOMY AND CELL BIOLOGY,CB,5947107
SUNY Downstate,CELL BIOLOGY,CB,2706962
Baylor,MOLECULAR AND CELLULAR BIOLOGY,CB,15459641
Massachusetts,MOLECULAR CELL AND CANCER BIOLOGY,CB,13448084
North Carolina,CELL BIOLOGY AND PHYSIOLOGY,CB,16995668
UC San Diego,CELLULAR AND MOLECULAR MEDICINE,CB,19567140
Oregon,CELL DEVELOPMENTAL AND CANCER BIOLOGY,CB,8100781
Rush,ANATOMY AND CELL BIOLOGY,CB,882798
SUNY Upstate,CELL AND DEVELOPMENTAL BIOLOGY,CB,1491632
MU South Carolina,REGENERATIVE MEDICINE AND CELL BIOLOLGY,CB;SCRB,1649984
MC Georgia Augusta,CELLULAR BIOLOGY AND ANATOMY,CB,3032510
UT Medical Branch,NEUROSCIENCE CELL BIOLOGY AND ANATOMY,CB,NA
Alabama,CELL DEVELOPMENTAL AND INTEGRATIVE BIOLOGY,CB,10477873
Florida,ANATOMY AND CELL BIOLOGY,CB,1406696
Oklahoma,CELL BIOLOGY,CB,1450332
Arkansas,PHYSIOLOGY AND CELL BIOLOGY,CB,4673644
South Carolina Columbia,CELL BIOLOGY AND ANATOMY,CB,1654562
UC Davis,CELL BIOLOGY AND HUMAN ANATOMY,CB,7400508
LSU New Orleans,CELL BIOLOGY AND ANATOMY,CB,1275481
LSU Shreveport,CELLULAR BIOLOGY AND ANATOMY,CB,1169064
Arizona,CELLULAR AND MOLECULAR MEDICINE,CB,3665306
South Carolina Greenville,BIOMEDICAL SCIENCES,NA,NA
Connecticut,CELL BIOLOGY,CB,2760940
UT Southwestern,CELL BIOLOGY,CB,6849705
New Mexico,CELL BIOLOGY AND PHYSIOLOGY,CB,1928559
Hawaii-Burns,CELL AND MOLECULAR BIOLOGY,CB,3032447
Caribe,ANATOMY AND CELL BIOLOGY,CB,92038
South Alabama,PHYSIOLOGY AND CELL BIOLOGY,CB,928957
Nevada Reno,PHYSIOLOGY AND CELL BIOLOGY,CB,7443076
CUNY,MOLECULAR CELLULAR AND BIOMEDICAL SCIENCES,CB,NA
East Carolina-Brody,ANATOMY AND CELL BIOLOGY,CB,468705
Kansas,ANATOMY AND CELL BIOLOGY,CB,7599437
Rutgers New Jersey,CELL BIOLOGY AND MOLECULAR MEDICINE,CB;BCMP,NA
Mississippi,CELL AND MOLECULAR BIOLOGY,CB;BCMP,NA
Texas Tech,CELL BIOLOGY AND BIOCHEMISTRY,CB;BCMP,349811
Southern Cal-Keck,MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,NA
Boston,BIOCHEMISTRY,BCMP,8025749
Mount Sinai-Icahn,CELL DEVELOPMENTAL AND REGENERATIVE BIOLOGY,CB;SCRB,11176811
Harvard,BIOMEDICAL INFORMATICS,DBMI,19450852
Columbia-Vagelos,BIOMEDICAL INFORMATICS,DBMI,5010556
Ohio State,BIOMEDICAL INFORMATICS,DBMI,1526637
Stanford,CENTER FOR BIOMEDICAL INFORMATICS RESEARCH,DBMI,3795267
U Washington,BIOMEDICAL INFORMATICS AND MEDICAL EDUCATION,DBMI,1143395
Illinois,MEDICAL INFORMATION SCIENCE,DBMI,NA
Illinois,BIOMEDICAL SCIENCES,DBMI,687042
Temple-Katz,CENTER FOR BIOSTATISTICS AND EPIDEMIOLOGY,DBMI,NA
Dartmouth-Geisel,BIOMEDICAL DATA SCIENCE,DBMI,482074
Pittsburgh,BIOMEDICAL INFORMATICS,DBMI,9707862
Emory,BIOMEDICAL INFORMATICS,DBMI,NA
Rochester,BIOSTATISTICS AND COMPUTATIONAL BIOLOGY,DBMI,1698383
Vanderbilt,BIOMEDICAL INFORMATICS,DBMI,47148251
Wisconsin,BIOSTATISTICS AND MED INFORMATICS,DBMI,5225905
West Virginia,HEALTH INFORMATICS AND INFORMATION MANAGEMENT,DBMI,NA
Buffalo-Jacobs,BIOMEDICAL INFORMATICS,DBMI,696072
Oregon,MEDICAL INFORMATICS AND CLINICAL EPIDEMIOLOGY,DBMI,1628684
Utah,BIOMEDICAL INFORMATICS,DBMI,2206766
UT San Antonio-Long,EPIDEMIOLOGY AND BIOSTATISTICS,DBMI,906999
Renaissance Stony Brook,BIOMEDICAL INFORMATICS,DBMI,NA
Florida,HEALTH OUTCOMES AND BIOMEDICAL INFORMATICS,DBMI,NA
Geisigner Commonwealth,TRANSLATIONAL DATA SCIENCE AND INFORMATICS,DBMI,NA
Missouri Kansas City,BIOMEDICAL AND HEALTH INFORMATICS,DBMI,319146
Arkansas,BIOMEDICAL INFORMATICS,DBMI,3018305
Mayo-Alix,ARTIFICIAL INTELLIGENCE AND INFORMATICS,DBMI,NA
UT Southwestern,BIOINFORMATICS,DBMI,NA
Western Michigan-Stryker,BIOMEDICAL INFORMATICS,DBMI,NA
Southern Illinois,INFORMATION AND COMMUNICATION SCIENCES,DBMI,NA
Arizona,BIOMEDICAL INFORMATICS,DBMI,NA
Kansas,BIOSTATISTICS AND DATA SCIENCE,DBMI,NA
Georgetown,BIOSTATISTICS BIOINFORMATICS AND BIOMATHEMATICS,DBMI,NA
Pennsylvania-Perelman,BIOSTATISTICS EPIDEMIOLOGY AND INFORMATICS,DBMI,22896618
Indiana,BIOSTATISTICS AND HEALTH DATA SCIENCE,DBMI,398683
Nebraska,BIOSTATISTICS,DBMI,NA
Hawaii-Burns,QUANTITATIVE HEALTH SCIENCES,DBMI,NA
Duke,BIOSTATISTICS AND BIOINFORMATICS,DBMI,17976601
Wake Forest,BIOSTATISTICAL SCIENCES,DBMI,5308210
Michigan,COMPUTATIONAL MEDICINE AND BIOINFORMATICS,DBMI,1434531
Mayo-Alix,BIOMEDICAL STATISTICS AND INFORMATICS,DBMI,NA
Einstein,EPIDEMIOLOGY AND POPULATION HEALTH,GHSM,NA
Ohio State,CANCER BIOLOGY AND GENETICS,Gn,7426945
Harvard,GLOBAL HEALTH AND SOCIAL MEDICINE,GHSM,7134017
Southern Cal-Keck,POPULATION AND PUBLIC HEALTH SCIENCES,GHSM,NA
Georgetown,HUMAN SCIENCE,GHSM,NA
Columbia-Vagelos,MEDICAL HUMANITIES AND ETHICS,GHSM,NA
U Washington,BIOETHICS AND HUMANITIES,GHSM,NA
U Washington,GLOBAL HEALTH,GHSM,17619752
NYU-Grossman,POPULATION HEALTH,GHSM,NA
UC San Fransisco,HUMANITIES AND SOCIAL SCIENCES,GHSM,1703178
Duke,POPULATION HEALTH SCIENCES,GHSM,NA
Temple-Katz,CENTER FOR URBAN BIOETHICS,GHSM,NA
Temple-Katz,CENTER FOR ASIAN HEALTH,GHSM,NA
Temple-Katz,HOPE CENTER FOR COLLEGE COMMUNITY AND JUSTICE,GHSM,NA
Chicago-Pritzker,PUBLIC HEALTH SCIENCES,GHSM,7212523
New York Medical,PUBLIC HEALTH,GHSM,NA
Chicago Med Franklin,HUMANITIES AND HEALTH CARE,GHSM,NA
Loyola Stritch,PUBLIC HEALTH SCIENCES,GHSM,981196
Penn State,HUMANITIES,GHSM,1040342
Rochester,MEDICAL HUMANITIES AND BIOETHICS,GHSM,NA
Mount Sinai-Icahn,POPULATION HEALTH SCIENCE AND POLICY,HCP,NA
Cincinnati,ENVIRONMENTAL AND PUBLIC HEALTH SCIENCES,GHSM,8635904
Creighton,MEDICAL HUMANITIES,GHSM,NA
Wisconsin,MEDICAL HISTORY AND BIOETHICS,GHSM,NA
Massachusetts,POPULATION AND QUANTITATIVE HEALTH SCIENCES,GHSM,5308102
North Carolina,SOCIAL MEDICINE,GHSM,1683078
Rush,PREVENTIVE MEDICINE,GHSM,2099575
Utah,POPULATION HEALTH SCIENCES,GHSM,2443323
UT San Antonio-Long,POPULATION HEALTH SERVICES,GHSM,NA
UT Medical Branch,PREVENTIVE MEDICINE AND COMMUNITY HEALTH,GHSM,2381036
Renaissance Stony Brook,FAMILY POPULATION AND PREVENTIVE MEDICINE,GHSM,NA
Missouri Kansas City,MEDICAL HUMANITIES AND BIOETHICS,GHSM,NA
Florida State,BEHAVIORAL SCIENCES AND SOCIAL MEDICINE,GHSM,5678644
Zucker Hofstra Northwell,OCCUPATIONAL MEDICINE EPIDEMIOLOGY AND PREVENTION,GHSM,NA
UCF,POPULATION HEALTH SCIENCES,GHSM,NA
Hawaii-Burns,NATIVE HAWAIIAN HEALTH,GHSM,1149432
Texas A & M,HUMANITIES IN MEDICINE,GHSM,NA
Southern Illinois,MEDICAL HUMANITIES,GHSM,NA
