school,department_name,harvard_equivalent,nih_2017
Boston,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,5804974
Harvard,BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,BCMP,17933233
Southern Cal-Keck,BIOCHEMISTRY AND MOLECULAR MEDICINE,BCMP,NA
Case Western Reserve,MOLECULAR MEDICINE,BCMP,86713818
Case Western Reserve,PHARMACOLOGY,BCMP,NA
Case Western Reserve,PHYSIOLOGY AND BIOPHYSICS,BCMP,NA
Johns Hopkins,BIOLOGICAL CHEMISTRY,BCMP,5461883
Johns Hopkins,BIOPHYSICS AND BIOPHYSICAL CHEMISTRY,BCMP,3034896
Johns Hopkins,PHARMACOLOGY AND MOLECULAR SCIENCES,BCMP,8462151
Northwestern-Feinberg,PHARMACOLOGY,BCMP,8353156
Drexel,PHARMACOLOGY AND PHYSIOLOGY,BCMP,3575386
George Washington,BIOCHEMISTRY AND MOLECULAR MEDICINE,BCMP,1886271
George Washington,PHARMACOLOGY AND PHYSIOLOGY,BCMP,6647684
Georgetown,PHARMACOLOGY AND PHYSIOLOGY,BCMP,3388880
Tufts,DEVELOPMENTAL MOLEC AND CHEMICAL BIOL,BCMP,3890307
Columbia-Vagelos,BIOCHEMISTRY AND MOLECULAR BIOPHYSICS,BCMP,NA
Columbia-Vagelos,MOLECULAR PHARMACOLOGY AND THERAPEUTICS,BCMP,NA
Ohio State,BIOLOGICAL CHEMISTRY AND PHARMACOLOGY,BCMP,6105624
Pennsylvania-Perelman,BIOCHEMISTRY AND BIOPHYSICS,BCMP,9082646
Pennsylvania-Perelman,SYSTEMS PHARMACOLOGY AND TRANSLATIONAL THERAPEUTICS,BCMP,27803890
Yale,MOLECULAR BIOPHYSICS AND BIOCHEMISTRY,BCMP,15297480
Stanford,BIOCHEMISTRY,BCMP,11696113
Indiana,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,4438701
Indiana,PHARMACOLOGY AND TOXICOLOGY,BCMP,4470297
U Washington,BIOCHEMISTRY,BCMP,16552418
U Washington,PHARMACOLOGY,BCMP,7106485
U Washington,PHYSIOLOGY AND BIOPHYSICS,BCMP,8492804
Jefferson-Kimmel,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,4725467
Jefferson-Kimmel,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,NA
Jefferson-Kimmel,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,728820
MC Wisconsin,BIOCHEMISTRY,BCMP,4832682
MC Wisconsin,BIOPHYSICS,BCMP,2250960
MC Wisconsin,PHARMACOLOGY AND TOXICOLOGY,BCMP,4299358
NYU-Grossman,BIOCHEMISTRY AND MOLEC PHARMACOLOGY,BCMP,13390974
UC San Fransisco,BIOCHEMISTRY AND BIOPHYSICS,BCMP,22576860
Miami-Miller,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,4665990
Miami-Miller,PHYSIOLOGY AND BIOPHYSICS,BCMP,1966721
Illinois,BIOCHEMISTRY,BCMP,377748
Illinois,PHARMACOLOGY,BCMP,14639837
Washington U St Louis,BIOCHEMISTRY AND MOLECULAR BIOPHYSICS,BCMP,4577156
Tulane,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,2095920
Tulane,PHARMACOLOGY,BCMP,2056365
Duke,BIOCHEMISTRY,BCMP,7779848
Wake Forest,BIOCHEMISTRY,BCMP,1830084
Wake Forest,MOLECULAR MEDICINE,BCMP,NA
